,FECHA_DOC,CVE_ART
1,2022-01-05,TUA00028
2,2022-01-05,TP0007
3,2022-01-05,TP0001
4,2022-01-05,BP00242
5,2022-01-05,BP00243
6,2022-01-05,RP00165
7,2022-01-05,TP0001
8,2022-01-05,TUE00207
9,2022-01-05,TUE00207
10,2022-01-05,TUE00207
